"Category,Points,Question,Answer"
"Math,100,What is 2 + 2?,4"
"Math,200,What is the square root of 16?,4"
"Math,300,What is 7 * 8?,56"
"Math,400,What is 15 divided by 3?,5"
"Math,500,What is the value of π (Pi) to two decimal places?,3.14"
"Science,100,What planet is known as the Red Planet?,Mars"
"Science,200,What is the chemical symbol for water?,H2O"
"Science,300,What gas do plants absorb from the atmosphere?,Carbon Dioxide"
"Science,400,What is the powerhouse of the cell?,Mitochondria"
"Science,500,What is the speed of light in vacuum (km/s)?,299792"
"History,100,Who was the first President of the United States?,George Washington"
"History,200,What year did World War II end?,1945"
"History,300,Who was known as the Iron Lady?,Margaret Thatcher"
"History,400,Which civilization built the pyramids?,Egyptians"
"History,500,What is the oldest written language?,Sumerian"
"Geography,100,What is the capital of France?,Paris"
"Geography,200,Which continent is the Sahara Desert located in?,Africa"
"Geography,300,What is the longest river in the world?,Nile"
"Geography,400,Which country is known as the Land of the Rising Sun?,Japan"
"Geography,500,What is the largest ocean on Earth?,Pacific"
"English,100,What is the main theme of 'Romeo and Juliet'?,Love"
"English,200,What is a synonym for 'happy'?,Joyful"
"English,300,Who wrote '1984'?,George Orwell"
"English,400,What is the literary device used in 'The wind whispered through the trees'?,Personification"
"English,500,What is the term for a story's underlying message?,Theme"
